Tanggal,Waktu,Response,Protocol,IP,Port,Byte,Domain
23-feb-2022,22:15:17.000,aq,udp,216.123.200.37,62805,45,ns4.hoster.co.id
23-feb-2022,22:15:18.000,aq,udp,168.95.43.172,26227,45,ns2.orion.net.id
23-feb-2022,22:15:17.000,aq,udp,164.124.101.76,28172,46,pj.feb.unri.ac.id
23-feb-2022,22:15:17.000,aq,udp,61.220.7.121,8469,40,d.infeed.id
23-feb-2022,22:15:17.000,aq,udp,61.220.11.99,33394,44,ns1.wave.net.id
23-feb-2022,22:15:18.000,aq,tcp,172.69.189.53,52904,40,link.net.id
23-feb-2022,22:15:17.000,aq,tcp,213.154.64.5,40481,59,baidubrowser.co.id
23-feb-2022,22:15:18.000,aq,tcp,117.111.29.14,47173,44,ns.detik.net.id
23-feb-2022,22:15:17.000,aq,tcp,156.67.213.151,17560,58,alderoelektrik.cakracon.co.id
23-feb-2022,22:15:18.000,aq,tcp,2.16.76.30,60731,55,darmasiswa.kemdikbud.go.id
23-feb-2022,22:15:18.000,aq,tcp,130.117.249.138,39735,39,asn.net.id
23-feb-2022,22:15:18.000,aq,tcp,172.69.201.35,9162,38,jne.co.id
23-feb-2022,22:15:18.000,aq,tcp,23.237.137.204,57270,43,koi.top.net.id
23-feb-2022,22:15:17.000,ar,udp,61.220.11.99,28682,692,ns1.wave.net.id
23-feb-2022,22:15:17.000,ar,udp,130.117.249.138,30698,684,asn.net.id
23-feb-2022,22:15:18.000,ar,udp,154.62.137.242,27031,690,support.lazada.co.id
23-feb-2022,22:15:17.000,ar,udp,216.123.200.37,62805,896,ns4.hoster.co.id
23-feb-2022,22:15:18.000,ar,udp,168.95.43.172,26227,729,ns2.orion.net.id
23-feb-2022,22:15:17.000,ar,udp,164.124.101.76,28172,509,pj.feb.unri.ac.id
23-feb-2022,22:15:17.000,ar,udp,61.220.7.121,8469,483,d.infeed.id
23-feb-2022,22:15:17.000,ar,udp,61.220.11.99,33394,692,ns1.wave.net.id
23-feb-2022,22:15:18.000,ar,tcp,172.69.189.53,52904,1235,link.net.id
23-feb-2022,22:15:17.000,ar,tcp,213.154.64.5,40481,675,baidubrowser.co.id
23-feb-2022,22:15:18.000,ar,tcp,117.111.29.14,47173,789,ns.detik.net.id
23-feb-2022,22:15:17.000,ar,tcp,156.67.213.151,17560,1858,alderoelektrik.cakracon.co.id
23-feb-2022,22:15:18.000,ar,tcp,2.16.76.30,60731,743,darmasiswa.kemdikbud.go.id
23-feb-2022,22:15:18.000,ar,tcp,130.117.249.138,39735,1234,asn.net.id
23-feb-2022,22:15:18.000,ar,tcp,172.69.201.35,9162,1234,jne.co.id
23-feb-2022,22:15:18.000,ar,tcp,23.237.137.204,57270,1824,koi.top.net.id
23-feb-2022,22:15:18.000,aq,udp,153.128.63.232,20310,46,mail.voksel.co.id
23-feb-2022,22:15:17.000,aq,udp,172.69.201.35,57215,38,jne.co.id
23-feb-2022,22:15:18.000,aq,udp,106.241.133.56,33049,74,116.93.178.180-makassar.ip1.co.id
